No.,算子描述,对应华为ModelArts Studio中的算子,,,,,
1,i.??异常值检测与处理：对缺失数据进行处理，如填补、删除或使用插值法，识别并处理异常数据点，如语法错误或不完整的句子。,,确认符号字符范围,Li,异常符号过滤：自己写正则表达式就可以实现，但是语法错误、不完整的句子？,,
2,ii.?格式标准化：将数据转换为统一的格式，如日期格式、数值格式等。,,没有,Li,,,
3,iii.语言过滤：根据预定的语言标准过滤数据，确保数据符合目标语言的要求。,,有,Deng,,,
4,iv.?启发式方法：使用启发式算法对数据进行初步过滤，排除明显无关或不符合要求的数据。,,"段落级别、段落内级别去重有
图注表注没有",Deng,,,
5,v.??数据去重：对重复数据进行检测和移除，尤其是重复的句子和段落。,,确认是否根据语义识别,Deng,,,
6,vi.?有害内容过滤：识别并去除有害或明确内容，如侮辱性、暴力或成人内容。ix.?合规性：确保数据处理符合相关法律法规。,,敏感词表没有？华为确认是否有单独？,Li,敏感词库：英文：Better Profanity                    中文： 暂无                                    过滤保留中文语种：data_juicer本身算子具备,https://github.com/snguyenthanh/better_profanity.git,file:///C:/Users/19706/Downloads/profanity_wordlist.txt
8,viii.匿名化处理：对敏感数据进行匿名化处理。,,没有,Li,,,
10,x.??拼写和语法检查：确保文本数据中没有拼写和语法错误。,,是否同n-gram？,Lu,,,
11,xi.?上下文一致性：确保句子和段落在上下文中具有一致性和连贯性。,同n-gram,确认,Lu,,,
14,自定义正则替换,,确认,Lu,,,
15,自定义正则过滤,,确认,Lu,,,
16,自定义关键词过滤,,？？,chen,,,
17,文本长度过滤,,有,Deng,,,
18,N-gram特征过滤,,没有,chen,,,
19,词语特征过滤,,待确认,chen,,,
20,广告数据过滤,,没有,chen,,,
21,QA对过滤,,没有,chen,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,增量训练：,,,,,,
,数据占比：广汽：华为 = 1：5,,,,,,
,数据量建议：广汽提供至少1B tokens数据，推荐10B tokens数据,,,,,,
,华为提供盘古模型原始数据集,,,,,,
,,,,,,,
,数据清洗：,,,,,,
